Codepoint,Form,Name
"2CF1","◌⳱","COPTIC COMBINING SPIRITUS LENIS"
"2D7F","◌⵿","TIFINAGH CONSONANT JOINER"
"3099","◌゙","COMBINING KATAKANA-HIRAGANA VOICED SOUND MARK"
"309A","◌゚","COMBINING KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK"
"A6F0","◌꛰","BAMUM COMBINING MARK KOQNDON"
"A6F1","◌꛱","BAMUM COMBINING MARK TUKWENTIS"
"A806","◌꠆","SYLOTI NAGRI SIGN HASANTA"
"A82C","◌꠬","SYLOTI NAGRI SIGN ALTERNATE HASANTA"
"A8C4","◌꣄","SAURASHTRA SIGN VIRAMA"
"A92B","◌꤫","KAYAH LI TONE PLOPHU"
"A92C","◌꤬","KAYAH LI TONE CALYA"
"A92D","◌꤭","KAYAH LI TONE CALYA PLOPHU"
"A953","◌꥓","REJANG VIRAMA"
"A9B3","◌꦳","JAVANESE SIGN CECAK TELU"
"A9C0","◌꧀","JAVANESE PANGKON"
"AAB0","◌ꪰ","TAI VIET MAI KANG"
"AAB2","◌ꪲ","TAI VIET VOWEL I"
"AAB3","◌ꪳ","TAI VIET VOWEL UE"
"AAB4","◌ꪴ","TAI VIET VOWEL U"
"AAB7","◌ꪷ","TAI VIET MAI KHIT"
"AAB8","◌ꪸ","TAI VIET VOWEL IA"
"AABE","◌ꪾ","TAI VIET VOWEL AM"
"AABF","◌꪿","TAI VIET TONE MAI EK"
"AAC1","◌꫁","TAI VIET TONE MAI THO"
"AAF6","◌꫶","MEETEI MAYEK VIRAMA"
"ABED","◌꯭","MEETEI MAYEK APUN IYEK"
"FB1E","◌ﬞ","HEBREW POINT JUDEO-SPANISH VARIKA"
"10376","◌𐍶","COMBINING OLD PERMIC LETTER AN"
"10377","◌𐍷","COMBINING OLD PERMIC LETTER DOI"
"10378","◌𐍸","COMBINING OLD PERMIC LETTER ZATA"
"10379","◌𐍹","COMBINING OLD PERMIC LETTER NENOE"
"1037A","◌𐍺","COMBINING OLD PERMIC LETTER SII"
"10A0D","◌𐨍","KHAROSHTHI SIGN DOUBLE RING BELOW"
"10A0F","◌𐨏","KHAROSHTHI SIGN VISARGA"
"10A38","◌𐨸","KHAROSHTHI SIGN BAR ABOVE"
"10A39","◌𐨹","KHAROSHTHI SIGN CAUDA"
"10A3A","◌𐨺","KHAROSHTHI SIGN DOT BELOW"
"10A3F","◌𐨿","KHAROSHTHI VIRAMA"
"10AE5","◌𐫥","MANICHAEAN ABBREVIATION MARK ABOVE"
"10AE6","◌𐫦","MANICHAEAN ABBREVIATION MARK BELOW"
"10D24","◌𐴤","HANIFI ROHINGYA SIGN HARBAHAY"
"10D25","◌𐴥","HANIFI ROHINGYA SIGN TAHALA"
"10D26","◌𐴦","HANIFI ROHINGYA SIGN TANA"
"10D27","◌𐴧","HANIFI ROHINGYA SIGN TASSI"
"10EAB","◌𐺫","YEZIDI COMBINING HAMZA MARK"
"10EAC","◌𐺬","YEZIDI COMBINING MADDA MARK"
"10EFD","◌𐻽","ARABIC SMALL LOW WORD SAKTA"
"10EFE","◌𐻾","ARABIC SMALL LOW WORD QASR"
"10EFF","◌𐻿","ARABIC SMALL LOW WORD MADDA"
"10F46","◌𐽆","SOGDIAN COMBINING DOT BELOW"
"10F47","◌𐽇","SOGDIAN COMBINING TWO DOTS BELOW"
"10F48","◌𐽈","SOGDIAN COMBINING DOT ABOVE"
"10F49","◌𐽉","SOGDIAN COMBINING TWO DOTS ABOVE"
"10F4A","◌𐽊","SOGDIAN COMBINING CURVE ABOVE"
"10F4B","◌𐽋","SOGDIAN COMBINING CURVE BELOW"
"10F4C","◌𐽌","SOGDIAN COMBINING HOOK ABOVE"
"10F4D","◌𐽍","SOGDIAN COMBINING HOOK BELOW"
